"scenario","timeperiod","compartment","target","area","volume","age","hsize","avail_thlb","transition_area","transition_volume"
"cg_bau_a3_rNA",20,"Dawson_Creek_TSA","1370000","6624.70488596186","1369967.68753241","131.173336444199","2.80114371499444","246756.470468985","400.377002727985","57343.1858243104"
"cg_bau_a3_rNA",25,"Dawson_Creek_TSA","1370000","5280.42165188752","1369964.80417983","105.205217734344","2.96986594594349","241163.919436093","912.274609131366","123444.575124067"
"cg_bau_a3_rNA",30,"Dawson_Creek_TSA","1370000","6148.46780669987","1369951.75289802","92.2185794836195","1.67123343481921","217580.975465413","1686.113614434","229027.379893454"
"cg_bau_a3_rNA",35,"Dawson_Creek_TSA","1370000","5785.86826526523","1369947.12846918","99.4596800968848","4.09764041449379","211262.891272176","2139.15701398849","295142.575347309"
"cg_bau_a3_rNA",40,"Dawson_Creek_TSA","1370000","5778.10303319767","1369979.66359626","105.113630369748","1.76970996422593","202282.822232049","2033.39241273105","276131.803221329"
"cg_bau_a3_rNA",45,"Dawson_Creek_TSA","1370000","6039.63317930922","1369990.21326421","100.402494945426","2.67951782578049","194009.701446634","2119.47741435021","291617.882912841"
"cg_bau_a3_rNA",50,"Dawson_Creek_TSA","1370000","6459.51205042526","1369990.74341943","104.024765070522","2.51440718194833","184016.742300298","3042.51522763073","424952.459696162"
"cg_bau_a3_rNA",55,"Dawson_Creek_TSA","1370000","6953.71407021806","1369935.23324694","119.00589994618","3.28470196987154","164570.840974275","2802.80500755757","386525.956549917"
"cg_bau_a3_rNA",60,"Dawson_Creek_TSA","1370000","7260.8050899066","1369985.37637467","105.378670402317","1.54748616579425","149781.098684639","3931.0458327055","538436.765588208"
"cg_bau_a3_rNA",65,"Dawson_Creek_TSA","1370000","7574.6382532117","1369987.01502458","95.3701885731672","2.25502776219461","142609.493575104","4768.72201939048","647553.206321973"
"cg_bau_a3_rNA",70,"Dawson_Creek_TSA","1370000","8204.09927828968","1369959.200977","86.3501786343418","2.69251699320305","128293.748408802","6105.14105622829","841885.697932231"
"cg_bau_a3_rNA",75,"Dawson_Creek_TSA","1370000","9020.54689508043","1369999.06473838","79.9081074314232","2.83575821913877","121044.070356987","7197.95947241373","960391.391938707"
"cg_bau_a3_rNA",80,"Dawson_Creek_TSA","1370000","7723.40967974514","1369975.80219569","100.988375135499","1.18293914531247","112196.408179455","5075.8730374366","706825.820525962"
"cg_bau_a3_rNA",85,"Dawson_Creek_TSA","1370000","8342.31545538269","1369976.14448832","104.968106280428","2.00440063800641","105083.739064701","5861.02882528901","802252.985495476"
"cg_bau_a3_rNA",90,"Dawson_Creek_TSA","1370000","7451.55866180286","1369980.61718214","152.667418658906","2.55628084452928","92524.8549803719","4130.49102809653","606606.97559101"
"cg_bau_a3_rNA",95,"Dawson_Creek_TSA","1370000","8025.39743186161","1369992.47341966","111.292139175463","1.85558322123968","86865.1588303894","5915.13940182254","864943.22766007"
"cg_bau_a3_rNA",100,"Dawson_Creek_TSA","1370000","8390.6636608325","1369985.10410186","97.5113735424193","2.2788331506878","81457.9687473252","6698.54423553348","975800.618623629"
"cg_bau_a3_rNA",105,"Dawson_Creek_TSA","1370000","8030.95005243272","1369969.89800196","111.989605360528","2.44250305730922","70064.2546649352","5540.91663442999","795249.280688816"
"cg_bau_a3_rNA",110,"Dawson_Creek_TSA","1370000","8153.01705304459","1369937.7681483","96.0506994176984","2.41284908346984","63848.634736523","6221.74926052615","899807.893776358"
"cg_bau_a3_rNA",115,"Dawson_Creek_TSA","1370000","8527.37148686396","1369977.15257614","101.893800476337","1.86880812773701","56856.4806255996","6485.41905763047","890784.218247339"
"cg_bau_a3_rNA",120,"Dawson_Creek_TSA","1370000","9228.82670934871","1369957.74732563","76.2712058686929","2.35729928718996","55836.2815880775","8238.74969420657","1149722.99434069"
"cg_bau_a3_rNA",125,"Dawson_Creek_TSA","1370000","9671.9106953498","1369997.22587467","62.4319493527437","2.59439664574834","55397.2585906312","9329.13889268376","1293382.42673997"
"cg_bau_a3_rNA",130,"Dawson_Creek_TSA","1370000","9201.93908263445","1369964.45389651","82.1818998133666","1.80713650483787","47447.7504961267","7896.65366784781","1091428.16199925"
"cg_bau_a3_rNA",135,"Dawson_Creek_TSA","1370000","8315.39869547598","1369996.49317325","102.27474771745","1.98932983145358","37707.0183808878","6486.43246981315","946292.775563879"
"cg_bau_a3_rNA",140,"Dawson_Creek_TSA","1370000","8706.70566788912","1369977.50154158","87.8568476303767","1.42266432481848","31667.3283102363","7383.6004509598","1070088.90965835"
"cg_bau_a3_rNA",145,"Dawson_Creek_TSA","1370000","7951.67704669819","1369980.50016445","103.605678823622","2.50762442343052","23981.1332404241","6222.24102946804","960635.918417564"
"cg_bau_a3_rNA",150,"Dawson_Creek_TSA","1370000","7805.25665237382","1369982.18181152","116.200899253879","1.74575187930526","14331.5151401833","5557.04822987616","875925.538756145"
"cg_bau_a3_rNA",155,"Dawson_Creek_TSA","1370000","8983.68465226963","1369971.42786108","73.2488502212025","2.47894168108985","14225.9351373538","8334.72004484162","1222043.64355072"
"cg_bau_a3_rNA",160,"Dawson_Creek_TSA","1370000","9225.34928600267","1369969.31710847","61.563037345233","2.29886600697799","20360.4302074835","9146.10128439292","1350570.95161821"
"cg_bau_a3_rNA",165,"Dawson_Creek_TSA","1370000","9365.14808360906","1369969.81500431","68.5175929628741","2.35187043787269","11885.282121323","8941.95927751931","1276604.55146034"
"cg_bau_a3_rNA",170,"Dawson_Creek_TSA","1370000","8842.2838882722","1369966.3391713","71.7393311861759","2.04209789567487","10995.8231111243","8339.59028274044","1248488.8512451"
"cg_bau_a3_rNA",175,"Dawson_Creek_TSA","1370000","9234.31648399047","1369997.39974494","58.6675814011793","2.94461622576227","19078.83918643","9155.74828286804","1355270.44927633"
"cg_bau_a3_rNA",180,"Dawson_Creek_TSA","1370000","9306.41728530675","1369986.97158349","58.4728937604604","1.83812310592667","20404.0752133057","9270.90968475044","1361644.07753291"
"cg_bau_a3_rNA",185,"Dawson_Creek_TSA","1370000","8910.64929865487","1369982.47891023","60.9877507948078","1.95323307730269","22525.1712298617","8844.2858981777","1355295.95645647"
"cg_bau_a3_rNA",190,"Dawson_Creek_TSA","1370000","8380.63108880594","1369967.7258503","64.0842865014512","1.68116972694201","24172.8562843055","8311.83288758323","1355120.31143413"
"cg_bau_a3_rNA",195,"Dawson_Creek_TSA","1370000","8638.59683584571","1369990.79231908","62.6756201246692","2.11006273469607","19730.1352024227","8532.66583362222","1345742.22467475"
"cg_bau_a3_rNA",200,"Dawson_Creek_TSA","1370000","8444.33529108078","1369978.80207622","62.8640777849461","2.07324706385484","15754.8201591745","8331.82148935483","1345207.70637958"
"cg_partner_agreement_a3_r40",110,"Dawson_Creek_TSA","1370000","8427.30028480813","1369957.93995624","94.4139622989677","1.646922080283","11869.2491120398","6579.30846223906","936328.961813326"
"cg_partner_agreement_a3_r40",115,"Dawson_Creek_TSA","1370000","8715.44650505353","1369969.12000756","88.0889306645525","2.84075831325082","7055.4900604561","7230.50448866058","1008888.75692438"
"cg_partner_agreement_a3_r40",120,"Dawson_Creek_TSA","1370000","9509.38628604813","1369986.11649796","71.4179103727251","2.01812102844824","5797.83404567838","8737.31307873232","1227144.21432495"
"cg_partner_agreement_a3_r40",125,"Dawson_Creek_TSA","1370000","9830.56151658022","1369997.93650425","58.9349757073073","1.69638680182575","5621.9940450117","9636.68871509829","1325758.55171056"
"cg_partner_agreement_a3_r40",130,"Dawson_Creek_TSA","1370000","6840.50747322738","1034607.56981398","78.9318344953498","1.37276890893586","3145.0760101825","5932.23646046072","841464.789404226"
"cg_partner_agreement_a3_r40",135,"Dawson_Creek_TSA","1370000","6266.28745947964","920344.589885521","65.3038022206412","1.586803610909","3125.32000993937","6011.80065536983","861818.28294686"
"cg_partner_agreement_a3_r40",140,"Dawson_Creek_TSA","1370000","8946.80506000891","1294284.34566088","60.3221036748694","2.00331506045878","3373.32000993937","8710.76565733627","1248664.04774841"
"cg_partner_agreement_a3_r40",145,"Dawson_Creek_TSA","1370000","7864.68846936673","1170806.93151132","59.9058776989988","2.07347441849901","3294.59000882506","7752.34126814604","1146722.21901697"
"cg_partner_agreement_a3_r40",150,"Dawson_Creek_TSA","1370000","7650.76384702027","1166600.63238574","62.8829557441455","2.71015368296857","3295.51000890136","7450.66344470903","1130361.04121028"
"cg_partner_agreement_a3_r40",155,"Dawson_Creek_TSA","1370000","8091.32707617581","1213029.62774559","59.8935231474157","2.18921187125969","3199.35000855476","7998.17327437103","1193966.69384222"
"cg_partner_agreement_a3_r40",160,"Dawson_Creek_TSA","1370000","9188.24186884165","1369993.3895849","57.8870042602656","2.47728279019726","3150.51600859314","9127.27086789161","1356323.94936225"
"cg_partner_agreement_a3_r40",165,"Dawson_Creek_TSA","1370000","7272.66528903488","1125922.05247152","61.2619828317709","1.75583420787902","2730.29000668973","7193.36048868392","1108959.27243821"
"cg_partner_agreement_a3_r40",170,"Dawson_Creek_TSA","1370000","9624.2542920771","1366030.51470747","58.1171994270985","2.63895099865015","2839.22000663728","9556.11789062051","1353895.19023071"
"cg_partner_agreement_a3_r40",175,"Dawson_Creek_TSA","1370000","9640.16949447058","1369980.62386197","57.0497504617183","1.95066157314257","9912.58609116822","9605.30609402545","1360866.50459381"
"cg_partner_agreement_a3_r40",180,"Dawson_Creek_TSA","1370000","9395.34050361812","1369991.85863842","58.629620996677","1.81587562883999","3576.56201247126","9340.67410277724","1357056.45475759"
